Date,Open,High,Low,Close,Adj Close,Volume
2013-10-31,22.000000,22.100000,20.299999,21.000000,20.702095,16022300
2013-11-01,21.400000,23.000000,21.100000,22.530001,22.210390,2283500
2013-11-04,21.900000,22.780001,21.840000,22.010000,21.697765,425800
2013-11-05,21.830000,22.969999,21.500000,22.730000,22.407553,880100
2013-11-06,23.000000,23.000000,21.879999,22.110001,21.796349,795500
2013-11-07,21.900000,22.450001,20.799999,21.309999,21.007696,953500
2013-11-08,21.670000,21.900000,20.940001,21.250000,20.948547,416300
2013-11-11,21.299999,21.500000,20.379999,20.570000,20.278194,458000
2013-11-12,20.450001,20.799999,19.950001,20.480000,20.189470,778100
2013-11-13,20.120001,21.160000,20.120001,20.879999,20.583794,205500
2013-11-14,20.990000,21.900000,20.990000,21.600000,21.293583,555500
2013-11-15,21.500000,21.709999,21.080000,21.190001,20.889399,238400
2013-11-18,21.650000,22.240000,20.879999,21.280001,20.978123,280200
2013-11-19,21.190001,21.299999,20.959999,21.090000,20.790817,292500
2013-11-20,21.200001,21.520000,21.040001,21.250000,20.948547,519400
2013-11-21,21.280001,21.889999,21.280001,21.809999,21.500603,248100
2013-11-22,22.020000,22.360001,21.610001,22.000000,21.687908,532800
2013-11-25,22.230000,22.500000,21.260000,21.400000,21.096418,77800
2013-11-26,21.799999,22.150000,21.480000,21.809999,21.500603,354600
2013-11-27,21.780001,22.219999,21.680000,21.809999,21.500603,151500
2013-11-29,22.020000,22.020000,21.540001,21.740000,21.431595,47700
2013-12-02,21.719999,22.000000,21.549999,21.830000,21.520321,203900
2013-12-03,21.750000,21.750000,21.440001,21.600000,21.293583,189100
2013-12-04,21.549999,22.200001,21.450001,22.139999,21.825920,162600
2013-12-05,22.150000,22.160000,21.719999,22.049999,21.737198,233000
2013-12-06,22.150000,22.910000,21.870001,22.340000,22.023087,159900
2013-12-09,22.270000,22.350000,21.910000,22.040001,21.727341,215200
2013-12-10,21.910000,22.480000,21.510000,21.799999,21.490744,298300
2013-12-11,21.860001,21.900000,21.450001,21.549999,21.244291,218000
2013-12-12,21.600000,21.980000,21.500000,21.530001,21.224575,342300
2013-12-13,21.580000,21.879999,21.389999,21.530001,21.224575,224600
2013-12-16,21.540001,21.670000,21.400000,21.469999,21.165426,774400
2013-12-17,21.570000,21.969999,21.250000,21.830000,21.520321,383600
2013-12-18,21.510000,22.750000,21.510000,22.330000,22.013227,479900
2013-12-19,22.370001,22.490000,21.670000,21.940001,21.628759,115400
2013-12-20,21.799999,23.090000,21.500000,23.090000,22.762447,3088300
2013-12-23,23.040001,23.280001,22.850000,23.000000,22.673721,389800
2013-12-24,23.040001,23.320000,22.910000,23.100000,22.772305,104000
2013-12-26,23.170000,23.910000,23.170000,23.420000,23.087763,197200
2013-12-27,23.520000,23.790001,23.410000,23.610001,23.275068,206700
2013-12-30,23.610001,23.930000,23.180000,23.650000,23.314501,169100
2013-12-31,23.620001,24.100000,23.520000,24.059999,23.718683,232100
2014-01-02,23.910000,24.059999,23.120001,23.370001,23.038473,199900
2014-01-03,23.360001,24.760000,23.360001,24.010000,23.669397,411100
